Algorithm,Version,Property,First Capital Violation,Camel Case Violation,Illegal Characters,Index Property Update,Usage
AlignAndFocusPowderFromFiles,1,GroupingWorkspace,False,False,False,False,214
AlignAndFocusPowderFromFiles,1,CalibrationWorkspace,False,False,False,False,214
AlignAndFocusPowderFromFiles,1,MaskWorkspace,False,False,False,False,214
AlignAndFocusPowderFromFiles,1,SpectrumIDs,False,False,False,True,214
AlignAndFocusPowderFromFiles,1,L2,False,True,False,False,214
AlphaCalc,1,ForwardSpectra,False,False,False,True,2
AlphaCalc,1,BackwardSpectra,False,False,False,True,2
LoadIsawDetCal,1,InputWorkspace,False,False,False,False,2077
SelectCellOfType,1,PeaksWorkspace,False,False,False,False,236
SaveAscii,1,SpectrumList,False,False,False,True,34
SaveAscii,2,SpectrumList,False,False,False,True,36391
AlignAndFocusPowder,1,GroupingWorkspace,False,False,False,False,1368
AlignAndFocusPowder,1,CalibrationWorkspace,False,False,False,False,1368
AlignAndFocusPowder,1,MaskWorkspace,False,False,False,False,1368
AlignAndFocusPowder,1,SpectrumIDs,False,False,False,True,1368
AlignAndFocusPowder,1,L2,False,True,False,False,1368
MaskMD,1,Workspace,False,False,False,False,15
MaskDetectors,1,Workspace,False,False,False,False,215615
MaskDetectors,1,SpectraList,False,False,False,True,215615
MaskDetectors,1,WorkspaceIndexList,False,False,False,True,215615
SetScalingPSD,1,Workspace,False,False,False,False,21
RefinePowderDiffProfileSeq,1,SeqControlInfoWorkspace,False,False,False,False,0
SetSampleMaterial,1,InputWorkspace,False,False,False,False,372
CreateChopperModel,1,Workspace,False,False,False,False,0
SANSMask,1,Workspace,False,False,False,False,2177
StripVanadiumPeaks,2,FWHM,False,True,False,False,502
ClearInstrumentParameters,1,Workspace,False,False,False,False,8
