Algorithm,Property Name,Clashing Algorithm, Possible Name Duplicates,usage
SpecularReflectionPositionCorrectv2,DetectorComponentName,ClearMaskFlagv1,ComponentName ,19
CalibrateRectangularDetectorsv1,RunNumber,MagnetismReflectometryReductionv1,NormalizationRunNumber ,7
ExportSampleLogsToCSVFilev1,SampleLogNames,LoadSpiceAsciiv1,FloatSampleLogNames IntegerSampleLogNames StringSampleLogNames ,7
SetupHFIRReductionv1,BckTransmissionError,SetupILLD33Reductionv1,TransmissionError ,4666
SetupHFIRReductionv1,SensitivityBeamCenterY,EQSANSLoadv1,BeamCenterY ,4666
CylinderPaalmanPingsCorrectionv2,CanOuterRadius,IndirectCylinderAbsorptionv1,CanRadius ,9
SANSAbsoluteScalev1,ReferenceDataFilename,LoadSwansv1,FilenameData ,15223
DiffractionFocussingv2,GroupingFileName,CatalogPublishv1,FileName ,6450
CatalogPublishv1,FileName,AlignAndFocusPowderFromFilesv1,CalFileName ,2
SetupEQSANSReductionv1,ThetaDependentTransmission,SetupILLD33Reductionv1,BckThetaDependentTransmission ,10888
FindDetectorsOutsideLimitsv1,RangeLower,ChopDatav1,IntegrationRangeLower ,2901
FindDetectorsOutsideLimitsv1,RangeLower,Integrationv1,RangeLowerList ,2901
SetupEQSANSReductionv1,TransmissionBeamCenterY,SANSBeamFinderv1,BeamCenterY ,10888
MaskDetectorsIfv1,InputCalFile,VelocityAutoCorrelationsv1,InputFile ,1
SetInstrumentParameterv1,ComponentName,SpecularReflectionCalculateThetav1,DetectorComponentName SampleComponentName ,286
SphericalAbsorptionv1,SampleNumberDensity,IndirectAnnulusAbsorptionv1,SampleDensity ,21
SetupHFIRReductionv1,MaskedDetectorList,SetInstrumentParameterv1,DetectorList ,4666
IndirectFlatPlateAbsorptionv1,CanDensityType,IndirectCylinderAbsorptionv2,CanDensity ,10
SetupEQSANSReductionv1,SampleDetectorDistanceOffset,EQSANSLoadv1,SampleDetectorDistance ,10888
UnwrapMonitorsInTOFv1,WavelengthMax,SaveHKLv1,MaxWavelength ,2
IndirectFlatPlateAbsorptionv1,CanScaleFactor,IndirectCalibrationv1,ScaleFactor ,10
GetDetectorOffsetsv1,XMax,GSASIIRefineFitPeaksv1,MaxX ,1
RenameLogv1,OriginalLogName,FilterLogByTimev1,LogName ,2
IndirectAnnulusAbsorptionv1,SampleDensityType,VesuvioCalculateMSv1,SampleDensity ,10
SimulatedDensityOfStatesv1,BinWidth,VesuvioL1ThetaResolutionv1,ThetaBinWidth ,166
FitPowderDiffPeaksv1,MaxTOF,MaskPeaksWorkspacev1,TOFMax ,2
EQSANSTofStructurev1,WavelengthMin,RemoveLowResTOFv1,MinWavelength ,47572
Stitch1DManyv1,ManualScaleFactor,IndirectResolutionv1,ScaleFactor ,293
