id,Title,State,Created At,Updated At,Assignee,isPR,Author,milestone
15997,Indirect OSIRIS Diffraction -  Allow for multiple can subtractions,closed,2016-04-26,2016-05-04,raquelalvarezbanos,Y,ElliotAOram,Release 3.7
15996,MCSTAS Conversion of StructuredDetector ,open,2016-04-26,2016-10-14,LamarMoore,N,LamarMoore,Temporary Holding
15995,LOKI Detector Geometry distances,open,2016-04-26,2016-10-14,LamarMoore,N,LamarMoore,Temporary Holding
15994,Live data prototype,open,2016-04-26,2016-04-26,,Y,lottiegreenwood,
15993,Emode=Direct for Paalman Pings corrections,closed,2016-04-26,2016-07-14,martyngigg,N,mganeva,Release 3.8
15992,MultivariateGaussionComptonProfile intensity causes underestimation in multiple scattering correction,open,2016-04-26,2016-10-03,martyngigg,N,DanNixon,
15991,Engg GUI: enable single peak fitting for consecutive run,closed,2016-04-26,2016-05-12,FedeMPouzols,Y,shahrozahmed1,Release 3.7
15990, Vesuvio - VesuvioThickness algorithm,closed,2016-04-26,2016-05-03,martyngigg,Y,ElliotAOram,Release 3.7
15989,Indirect ISIS Calibration - Load Log Files option in interface ,closed,2016-04-26,2016-07-22,louisemccann,N,ElliotAOram,Release 3.8
15988,Vesuvio - VesuvioCommands check height of peak rather than first/last bin,closed,2016-04-26,2016-05-04,martyngigg,Y,ElliotAOram,Release 3.7
15987,Refs #15965 LoadBBY and PatchBBY now support monochromatic neutrons,closed,2016-04-26,2016-04-28,AntonPiccardoSelg,Y,david-mannicke,Release 3.7
15986,Reduce the size of GluGeometryHandler,closed,2016-04-25,2016-05-03,martyngigg,Y,quantumsteve,Release 3.7
15985,FitPeaks usage example does not fit the peak,closed,2016-04-25,2016-04-27,wdzhou,N,AndreiSavici,Release 3.7
15984,Crash in MuonAnalysis on Ubuntu,closed,2016-04-25,2016-05-17,tom-perkins,N,tom-perkins,Release 3.7
15983,Pearl powder diffraction system test with generated calibration files,closed,2016-04-25,2016-05-12,shahrozahmed1,N,shahrozahmed1,Release 3.7
15982,ISIS autoconfig file copies multiple user's sample files,closed,2016-04-25,2016-05-09,FedeMPouzols,Y,abuts,Release 3.7
15981,Vesuvio - VesuvioCommands system test failing on OSX and RHEL6,closed,2016-04-25,2016-05-04,ElliotAOram,N,ElliotAOram,Release 3.7
15980,Document how LoadRaw loads data,open,2016-04-25,2016-10-13,KarlPalmen,N,KarlPalmen,
15979,Document with Table LoadMcStas,closed,2016-04-25,2016-05-06,KarlPalmen,N,KarlPalmen,Release 3.7
15978,Fix warnings from cpp-check 1.73,closed,2016-04-25,2016-04-26,martyngigg,Y,quantumsteve,Release 3.7
15977,Refactor MatrixWorkspaceTest::createImage(...).,closed,2016-04-23,2016-05-03,ElliotAOram,Y,quantumsteve,Release 3.7
15976,GSL2 test tolerances,closed,2016-04-22,2016-05-25,AndreiSavici,Y,rosswhitfield,Release 3.7
15975,Indirect BayesQuasi - Documentation should now be able to be viewed on all OS,closed,2016-04-22,2016-05-06,MattKing06,Y,ElliotAOram,Release 3.7
15974,Zero complex matrix and vector in creator.,closed,2016-04-22,2016-04-22,martyngigg,Y,mantid-roman,Release 3.7
15973,Build with gsl2,closed,2016-04-22,2016-04-22,AndreiSavici,Y,rosswhitfield,Release 3.7
15972,Crystal field: the complex matrix of parameters should be zero initialised.,closed,2016-04-22,2016-04-22,mantid-roman,N,mantid-roman,Release 3.7
15971,Add algorithm that implements one tomographic reconstruction method (3D),closed,2016-04-22,2016-05-18,FedeMPouzols,N,FedeMPouzols,Release 3.7
15970,ISIS direct inelastic config script should work propertly on Express experiments,open,2016-04-22,2016-10-03,abuts,N,abuts,
15969,Indirect OSIRIS Diffraction - Add OSIRIS_GSS_Parameter file to instrument dir,closed,2016-04-22,2016-04-27,tom-perkins,Y,ElliotAOram,Release 3.7
15968,Generalise LoadReflTBL and SaveReflTBL,closed,2016-04-22,2016-05-13,raquelalvarezbanos,Y,MattKing06,Release 3.7
15967,Indirect Bayes Quasi - EMin / EMax range bars update on data load,closed,2016-04-22,2016-04-26,shahrozahmed1,Y,ElliotAOram,Release 3.7
15966,System test for Pearl powder diffraction script,closed,2016-04-22,2016-04-28,FedeMPouzols,Y,shahrozahmed1,Release 3.7
15965,LoadBBY and PatchBBY need to support monochromatic neutrons,closed,2016-04-22,2016-04-28,,N,david-mannicke,Release 3.7
15964,Use byteswap intrinsics for changing endian.,closed,2016-04-21,2016-04-28,FedeMPouzols,Y,quantumsteve,Release 3.7
15963,Update MonteCarloAbsorption-v1.rst,closed,2016-04-21,2016-04-25,martyngigg,Y,granrothge,Release 3.7
15962,TOFTOF find EPP,closed,2016-04-21,2016-05-06,FedeMPouzols,Y,mganeva,Release 3.7
15961,No references in MonteCarloAbsorption Algorithm documentation.,closed,2016-04-21,2016-04-25,granrothge,N,granrothge,
15960,Displaying a table alters content of string-columns,closed,2016-04-21,2016-05-09,MichaelWedel,N,MichaelWedel,Release 3.7
15959,Detailed behaviour of LoadNexus,closed,2016-04-21,2016-05-04,FedeMPouzols,Y,KarlPalmen,Release 3.7
15958,Enable LoadNexus to respond to Spectrum Properties when LoadNexusPrecessed is to be run.,closed,2016-04-21,2016-07-27,DavidFair,N,KarlPalmen,
15957,Indirect OSIRIS Diffraction - Multiple container file for multiple runs,closed,2016-04-21,2016-05-04,ElliotAOram,N,ElliotAOram,Release 3.7
15956,Minor Cleanup of Crystal Field Codes,closed,2016-04-21,2016-10-03,PranavBahuguna,N,martyngigg,Release 3.8
15955,Refactor PeakShape,closed,2016-04-21,2016-05-12,AntonPiccardoSelg,Y,quantumsteve,Release 3.7
15954,Incorrect convolution when uneven domains,closed,2016-04-20,2016-05-09,jmborr,N,jmborr,Release 3.7
15953,Computes phonon density of states in the incoherent approximation.,closed,2016-04-20,2016-05-06,NickDraper,Y,mducle,Release 3.7
15952,Add pseudo-system test for fitting/minimization benchmarks,closed,2016-04-20,2016-12-12,FedeMPouzols,N,FedeMPouzols,
15951,Indirect Bayes Quasi - eMin/eMax range bars no longer automatically set ,closed,2016-04-20,2016-04-26,ElliotAOram,N,ElliotAOram,Release 3.7
15950,Documentation for PEARL powder diffraction scripts,closed,2016-04-20,2016-04-28,shahrozahmed1,N,FedeMPouzols,Release 3.7
15949,CreateTransmissionWorkspaceAuto: fix default ProcessingInstructions,closed,2016-04-20,2016-05-03,MattKing06,Y,raquelalvarezbanos,Release 3.7
15948,Vesuvio - VesuvioCorrections and VesuvioCommands test should now pass on all platforms,closed,2016-04-20,2016-04-22,martyngigg,Y,ElliotAOram,Release 3.7
15947,Add option on SofQW algorithms to replace NaNs on output,closed,2016-04-20,2016-09-12,PranavBahuguna,N,martyngigg,Release 3.8
15946,Intregration of the Pearl powder diffraction script,closed,2016-04-20,2016-04-25,FedeMPouzols,Y,shahrozahmed1,Release 3.7
15945,Add table to LoadNexusLogs documentation to explain loading,closed,2016-04-20,2016-04-22,NickDraper,Y,KarlPalmen,Release 3.7
15944,Add algorithm SaveFITS,closed,2016-04-20,2016-05-13,FedeMPouzols,N,FedeMPouzols,Release 3.7
15943,Generalise ReflTableViewPresenter,closed,2016-04-20,2016-05-16,MattKing06,Y,raquelalvarezbanos,Release 3.7
15942,Conversion between formats in tomography GUI,closed,2016-04-19,2016-05-17,FedeMPouzols,N,FedeMPouzols,Release 3.7
15941,Results log does not appear in mantid by default,closed,2016-04-19,2016-05-09,NickDraper,N,peterfpeterson,Release 3.7
15940,Don't try to load non-existant state file in reducers,closed,2016-04-19,2016-04-22,martyngigg,Y,peterfpeterson,Release 3.7
15939,Default extension in powder diffraction interface,closed,2016-04-19,2016-04-27,wdzhou,N,peterfpeterson,Release 3.7
15938,Update error weighting,closed,2016-04-19,2016-04-20,ricleal,Y,mdoucet,Release 3.7
15937,Difference in boost Gaussian distributed random number generation,open,2016-04-19,2016-10-14,louisemccann,N,ElliotAOram,Temporary Holding
15936,Default processing instructions in CreateTransmissionWorkspaceAuto,closed,2016-04-19,2016-05-03,raquelalvarezbanos,N,raquelalvarezbanos,Release 3.7
15935,Fix dx setter bug,closed,2016-04-19,2016-04-21,quantumsteve,Y,AntonPiccardoSelg,Release 3.7
15934,Dereference tcmalloc symlink at build time,closed,2016-04-19,2016-04-20,rosswhitfield,Y,martyngigg,Release 3.7
15933,Bugfix for MatrixWorkspace x uncertainty setter,closed,2016-04-19,2016-04-21,AntonPiccardoSelg,N,AntonPiccardoSelg,Release 3.7
15932,Ability to select time range; Corrected L1; Improved IDF;,closed,2016-04-19,2016-04-20,AntonPiccardoSelg,Y,david-mannicke,Release 3.7
15931,Bilby updates,closed,2016-04-19,2016-04-20,,N,david-mannicke,
15930,Correct with sqrt,closed,2016-04-18,2016-05-02,peterfpeterson,Y,jmborr,Release 3.7
